host_name,planet_letter,planet_name,num_planets_in_system,discovery_year,num_moons,link_to_wiki
GJ 1214,b,GJ 1214 b,1,2009,0,http://exoplanet.eu/catalog/gj_1214_b/
GJ 1265,b,GJ 1265 b,1,2018,0,http://exoplanet.eu/catalog/gj_1265_b/
GJ 143,b,GJ 143 b,2,2019,0,http://exoplanet.eu/catalog/gj_143_b/
GJ 15 A,b,GJ 15 A b,2,2014,0,http://exoplanet.eu/catalog/gj_15a_b/
GJ 15 A,c,GJ 15 A c,2,2018,0,
GJ 160.2,b,GJ 160.2 b,1,2014,0,http://exoplanet.eu/catalog/gj_160.2_b/
GJ 163,b,GJ 163 b,3,2013,0,http://exoplanet.eu/catalog/gj_163_b/
GJ 163,c,GJ 163 c,3,2013,0,http://exoplanet.eu/catalog/gj_163_c/
GJ 163,d,GJ 163 d,3,2013,0,http://exoplanet.eu/catalog/gj_163_d/
GJ 179,b,GJ 179 b,1,2009,0,http://exoplanet.eu/catalog/gj_179_b/
GJ 180,b,GJ 180 b,2,2014,0,http://exoplanet.eu/catalog/gj_180_b/
GJ 180,c,GJ 180 c,2,2014,0,http://exoplanet.eu/catalog/gj_180_c/
GJ 229,b,GJ 229 b,1,2014,0,http://exoplanet.eu/catalog/gj_229_a_b/
GJ 27.1,b,GJ 27.1 b,1,2014,0,http://exoplanet.eu/catalog/gj_27.1_b/
GJ 273,b,GJ 273 b,2,2017,0,http://exoplanet.eu/catalog/gj_273_b/
GJ 273,c,GJ 273 c,2,2017,0,http://exoplanet.eu/catalog/gj_273_c/
GJ 3021,b,GJ 3021 b,1,2000,0,http://exoplanet.eu/catalog/gj_3021_b/
GJ 3138,b,GJ 3138 b,3,2017,0,http://exoplanet.eu/catalog/gj_3138_b/
GJ 3138,c,GJ 3138 c,3,2017,0,http://exoplanet.eu/catalog/gj_3138_c/
GJ 3138,d,GJ 3138 d,3,2017,0,http://exoplanet.eu/catalog/gj_3138_d/
GJ 317,b,GJ 317 b,2,2007,0,http://exoplanet.eu/catalog/gj_317_b/
GJ 317,c,GJ 317 c,2,2018,0,http://exoplanet.eu/catalog/gj_317_c/
GJ 328,b,GJ 328 b,1,2013,0,http://exoplanet.eu/catalog/gj_328_b/
GJ 3293,b,GJ 3293 b,4,2015,0,http://exoplanet.eu/catalog/gj_3293_b/
GJ 3293,c,GJ 3293 c,4,2015,0,http://exoplanet.eu/catalog/gj_3293_d/
GJ 3293,d,GJ 3293 d,4,2017,0,http://exoplanet.eu/catalog/gj_3293_d/
GJ 3293,e,GJ 3293 e,4,2017,0,http://exoplanet.eu/catalog/gj_3293_e/
GJ 3323,b,GJ 3323 b,2,2017,0,http://exoplanet.eu/catalog/gj_3323_b/
GJ 3323,c,GJ 3323 c,2,2017,0,http://exoplanet.eu/catalog/gj_3323_c/
GJ 3341,b,GJ 3341 b,1,2015,0,http://exoplanet.eu/catalog/gj_3341_b/
GJ 3470,b,GJ 3470 b,1,2012,0,http://exoplanet.eu/catalog/gj_3470_b/
GJ 3512,b,GJ 3512 b,1,2019,0,http://exoplanet.eu/catalog/gj_3512_b/
GJ 357,b,GJ 357 b,3,2019,0,http://exoplanet.eu/catalog/gj_357_b/
GJ 357,c,GJ 357 c,3,2019,0,http://exoplanet.eu/catalog/gj_357_c/
GJ 357,d,GJ 357 d,3,2019,0,http://exoplanet.eu/catalog/gj_357_d/
GJ 3634,b,GJ 3634 b,1,2010,0,http://exoplanet.eu/catalog/gj_3634_b/
GJ 3779,b,GJ 3779 b,1,2018,0,http://exoplanet.eu/catalog/gj_3779_b/
GJ 3942,b,GJ 3942 b,1,2017,0,http://exoplanet.eu/catalog/gj_3942_b/
GJ 3998,b,GJ 3998 b,2,2016,0,http://exoplanet.eu/catalog/gj_3998_b/
GJ 3998,c,GJ 3998 c,2,2016,0,http://exoplanet.eu/catalog/gj_3998_c/
GJ 411,b,GJ 411 b,1,2019,0,
GJ 422,b,GJ 422 b,1,2014,0,http://exoplanet.eu/catalog/gj_422_b/
GJ 4276,b,GJ 4276 b,1,2019,0,
GJ 433,b,GJ 433 b,2,2011,0,http://exoplanet.eu/catalog/gj_433_b/
GJ 433,c,GJ 433 c,2,2014,0,http://exoplanet.eu/catalog/gj_433_c/
GJ 436,b,GJ 436 b,1,2004,0,http://exoplanet.eu/catalog/gj_436_b/
GJ 504,b,GJ 504 b,1,2013,0,http://exoplanet.eu/catalog/gj_504_b/
GJ 536,b,GJ 536 b,1,2016,0,http://exoplanet.eu/catalog/gj_536_b/
GJ 581,b,GJ 581 b,3,2005,0,http://exoplanet.eu/catalog/gj_581_b/
GJ 581,c,GJ 581 c,3,2007,0,http://exoplanet.eu/catalog/gj_581_c/
GJ 581,e,GJ 581 e,3,2009,0,http://exoplanet.eu/catalog/gj_581_e/
GJ 625,b,GJ 625 b,1,2017,0,http://exoplanet.eu/catalog/gj_625_b/
GJ 649,b,GJ 649 b,1,2009,0,http://exoplanet.eu/catalog/gj_649_b/
GJ 667 C,b,GJ 667 C b,5,2011,0,http://exoplanet.eu/catalog/gj_667_c_b/
GJ 667 C,c,GJ 667 C c,5,2011,0,http://exoplanet.eu/catalog/gj_667_c_c/
GJ 667 C,e,GJ 667 C e,5,2013,0,http://exoplanet.eu/catalog/gj_667_c_e/
GJ 667 C,f,GJ 667 C f,5,2013,0,http://exoplanet.eu/catalog/gj_667_c_f/
GJ 667 C,g,GJ 667 C g,5,2013,0,http://exoplanet.eu/catalog/gj_667_c_g/
GJ 674,b,GJ 674 b,1,2007,0,http://exoplanet.eu/catalog/gj_674_b/
GJ 676 A,b,GJ 676 A b,4,2010,0,http://exoplanet.eu/catalog/gj_676_a_b/
GJ 676 A,c,GJ 676 A c,4,2016,0,http://exoplanet.eu/catalog/gj_676_a_c/
GJ 676 A,d,GJ 676 A d,4,2012,0,http://exoplanet.eu/catalog/gj_676_a_d/
GJ 676 A,e,GJ 676 A e,4,2012,0,http://exoplanet.eu/catalog/gj_676_a_e/
GJ 682,b,GJ 682 b,2,2014,0,http://exoplanet.eu/catalog/gj_682_b/
GJ 682,c,GJ 682 c,2,2014,0,http://exoplanet.eu/catalog/gj_682_c/
GJ 685,b,GJ 685 b,1,2019,0,http://exoplanet.eu/catalog/gj_685_b/
GJ 687,b,GJ 687 b,1,2014,0,http://exoplanet.eu/catalog/gj_687_b/
GJ 832,b,GJ 832 b,2,2008,0,http://exoplanet.eu/catalog/gj_832_b/
GJ 832,c,GJ 832 c,2,2014,0,http://exoplanet.eu/catalog/gj_832_c/
GJ 849,b,GJ 849 b,1,2006,0,http://exoplanet.eu/catalog/gj_849_b/
GJ 86,b,GJ 86 b,1,1999,0,http://exoplanet.eu/catalog/gj_86_b/
GJ 876,b,GJ 876 b,4,1998,0,http://exoplanet.eu/catalog/gj_876_b/
GJ 876,c,GJ 876 c,4,2000,0,http://exoplanet.eu/catalog/gj_876_c/
